Dataset,Condition,Profit (mean),Profit CI low,Profit CI high,ROI,ECE,Threshold t*,Δprofit (vs K0),Δprofit %
telco,K0 Full system (raw + profit threshold),543647.2,536995.8,550298.7,1.318,0.0094,0.046,0.0,0.0
telco,K1 −profit threshold (accuracy 0.5),-1075055.7,-1096909.7,-1053201.7,-9.617,0.0094,0.5,-1618702.9,-297.7
telco,K2 −calibration (class-weight),541432.6,535265.4,547599.9,1.359,0.131,0.112,-2214.6,-0.4
telco,K3 −strong model (LogReg),525915.7,522566.7,529264.8,1.25,0.013,0.038,-17731.5,-3.3
telco,K4 +imbalance (SMOTE),542917.9,538487.4,547348.3,1.342,0.0829,0.064,-729.3,-0.1
cell2cell,K0 Full system (raw + profit threshold),2537959.2,2535533.8,2540384.5,0.706,0.0047,0.058,0.0,0.0
cell2cell,K1 −profit threshold (accuracy 0.5),-17393887.5,-17417215.8,-17370559.2,-71.71,0.0047,0.5,-19931846.6,-785.3
cell2cell,K2 −calibration (class-weight),2538275.5,2536176.2,2540374.9,0.708,0.1695,0.112,316.4,0.0
cell2cell,K3 −strong model (LogReg),2536016.9,2535968.9,2536064.9,0.704,0.0076,0.014,-1942.3,-0.1
cell2cell,K4 +imbalance (SMOTE),2538286.1,2535398.9,2541173.3,0.707,0.0318,0.066,327.0,0.0
ecommerce,K0 Full system (raw + profit threshold),254560.6,223774.5,285346.6,1.393,0.0382,0.01,0.0,0.0
ecommerce,K1 −profit threshold (accuracy 0.5),-48987.9,-106666.8,8691.0,-0.376,0.0382,0.5,-303548.5,-119.2
ecommerce,K2 −calibration (class-weight),278776.4,230567.5,326985.4,1.444,0.04,0.01,24215.9,9.5
ecommerce,K3 −strong model (LogReg),74107.4,69756.4,78458.4,0.164,0.0149,0.05,-180453.1,-70.9
ecommerce,K4 +imbalance (SMOTE),260215.1,215147.3,305282.9,1.373,0.0452,0.01,5654.5,2.2
iranian,K0 Full system (raw + profit threshold),652.2,116.8,1187.7,0.044,0.0132,0.062,0.0,0.0
iranian,K1 −profit threshold (accuracy 0.5),-3393.5,-4048.6,-2738.4,-0.307,0.0132,0.5,-4045.7,-620.3
iranian,K2 −calibration (class-weight),620.7,-264.6,1505.9,0.042,0.0162,0.108,-31.6,-4.8
iranian,K3 −strong model (LogReg),-19126.2,-19319.4,-18933.1,-0.968,0.0196,0.178,-19778.5,-3032.4
iranian,K4 +imbalance (SMOTE),1073.1,596.0,1550.2,0.071,0.0197,0.15,420.8,64.5
bank,K0 Full system (raw + profit threshold),968545.5,948935.3,988155.6,0.871,0.0109,0.052,0.0,0.0
bank,K1 −profit threshold (accuracy 0.5),-3019229.5,-3061653.4,-2976805.6,-15.383,0.0109,0.5,-3987775.0,-411.7
bank,K2 −calibration (class-weight),955527.3,949342.2,961712.3,0.857,0.1508,0.128,-13018.2,-1.3
bank,K3 −strong model (LogReg),771124.1,766217.6,776030.7,0.58,0.0079,0.054,-197421.4,-20.4
bank,K4 +imbalance (SMOTE),923422.1,904649.9,942194.3,0.797,0.1299,0.1,-45123.4,-4.7
