Dataset,Model,Method,Brier,ECE
telco,Logistic Regression,Raw (uncalibrated),0.1355 ± 0.0055,0.0214 ± 0.0026
telco,Logistic Regression,Platt (sigmoid),0.1356 ± 0.0054,0.0215 ± 0.0012
telco,Logistic Regression,Isotonic,0.1355 ± 0.0055,0.0196 ± 0.0033
telco,Random Forest,Raw (uncalibrated),0.1344 ± 0.0047,0.0251 ± 0.0032
telco,Random Forest,Platt (sigmoid),0.1354 ± 0.0051,0.0375 ± 0.0072
telco,Random Forest,Isotonic,0.1346 ± 0.0049,0.0243 ± 0.0067
telco,XGBoost,Raw (uncalibrated),0.1344 ± 0.0048,0.0239 ± 0.0034
telco,XGBoost,Platt (sigmoid),0.1354 ± 0.0050,0.0358 ± 0.0050
telco,XGBoost,Isotonic,0.1344 ± 0.0049,0.0249 ± 0.0055
telco,LightGBM,Raw (uncalibrated),0.1345 ± 0.0045,0.0224 ± 0.0077
telco,LightGBM,Platt (sigmoid),0.1339 ± 0.0043,0.0229 ± 0.0037
telco,LightGBM,Isotonic,0.1341 ± 0.0043,0.0230 ± 0.0095
telco,CatBoost,Raw (uncalibrated),0.1335 ± 0.0043,0.0252 ± 0.0048
telco,CatBoost,Platt (sigmoid),0.1350 ± 0.0047,0.0419 ± 0.0072
telco,CatBoost,Isotonic,0.1337 ± 0.0044,0.0223 ± 0.0066
telco,Explainable Boosting Machine,Raw (uncalibrated),0.1333 ± 0.0042,0.0202 ± 0.0031
telco,Explainable Boosting Machine,Platt (sigmoid),0.1336 ± 0.0040,0.0191 ± 0.0042
telco,Explainable Boosting Machine,Isotonic,0.1336 ± 0.0040,0.0222 ± 0.0031
cell2cell,Logistic Regression,Raw (uncalibrated),0.1980 ± 0.0008,0.0082 ± 0.0021
cell2cell,Logistic Regression,Platt (sigmoid),0.1980 ± 0.0007,0.0138 ± 0.0023
cell2cell,Logistic Regression,Isotonic,0.1977 ± 0.0007,0.0055 ± 0.0019
cell2cell,Random Forest,Raw (uncalibrated),0.1890 ± 0.0010,0.0133 ± 0.0031
cell2cell,Random Forest,Platt (sigmoid),0.1917 ± 0.0007,0.0330 ± 0.0041
cell2cell,Random Forest,Isotonic,0.1904 ± 0.0008,0.0171 ± 0.0056
cell2cell,XGBoost,Raw (uncalibrated),0.1868 ± 0.0006,0.0104 ± 0.0035
cell2cell,XGBoost,Platt (sigmoid),0.1900 ± 0.0008,0.0339 ± 0.0016
cell2cell,XGBoost,Isotonic,0.1893 ± 0.0008,0.0270 ± 0.0030
cell2cell,LightGBM,Raw (uncalibrated),0.1868 ± 0.0009,0.0080 ± 0.0017
cell2cell,LightGBM,Platt (sigmoid),0.1910 ± 0.0009,0.0388 ± 0.0041
cell2cell,LightGBM,Isotonic,0.1890 ± 0.0008,0.0268 ± 0.0040
cell2cell,CatBoost,Raw (uncalibrated),0.1870 ± 0.0009,0.0093 ± 0.0021
cell2cell,CatBoost,Platt (sigmoid),0.1906 ± 0.0008,0.0368 ± 0.0034
cell2cell,CatBoost,Isotonic,0.1895 ± 0.0008,0.0281 ± 0.0032
cell2cell,Explainable Boosting Machine,Raw (uncalibrated),0.1901 ± 0.0008,0.0086 ± 0.0013
cell2cell,Explainable Boosting Machine,Platt (sigmoid),0.1930 ± 0.0008,0.0323 ± 0.0039
cell2cell,Explainable Boosting Machine,Isotonic,0.1915 ± 0.0006,0.0246 ± 0.0070
ecommerce,Logistic Regression,Raw (uncalibrated),0.0875 ± 0.0035,0.0284 ± 0.0073
ecommerce,Logistic Regression,Platt (sigmoid),0.0876 ± 0.0033,0.0274 ± 0.0072
ecommerce,Logistic Regression,Isotonic,0.0872 ± 0.0045,0.0222 ± 0.0071
ecommerce,Random Forest,Raw (uncalibrated),0.0453 ± 0.0058,0.0397 ± 0.0136
ecommerce,Random Forest,Platt (sigmoid),0.0492 ± 0.0069,0.0352 ± 0.0102
ecommerce,Random Forest,Isotonic,0.0494 ± 0.0059,0.0307 ± 0.0132
ecommerce,XGBoost,Raw (uncalibrated),0.0426 ± 0.0070,0.0244 ± 0.0083
ecommerce,XGBoost,Platt (sigmoid),0.0496 ± 0.0074,0.0444 ± 0.0081
