Column,Role,Note
MonthlyRevenue,numeric,
MonthlyMinutes,numeric,
TotalRecurringCharge,numeric,
DirectorAssistedCalls,numeric,
OverageMinutes,numeric,
RoamingCalls,numeric,
PercChangeMinutes,numeric,
PercChangeRevenues,numeric,
DroppedCalls,numeric,
BlockedCalls,numeric,
UnansweredCalls,numeric,
CustomerCareCalls,numeric,
ThreewayCalls,numeric,
ReceivedCalls,numeric,
OutboundCalls,numeric,
InboundCalls,numeric,
PeakCallsInOut,numeric,
OffPeakCallsInOut,numeric,
DroppedBlockedCalls,numeric,
CallForwardingCalls,numeric,
CallWaitingCalls,numeric,
MonthsInService,numeric,
UniqueSubs,numeric,
ActiveSubs,numeric,
Handsets,numeric,
HandsetModels,numeric,
CurrentEquipmentDays,numeric,
AgeHH1,numeric,
AgeHH2,numeric,
RetentionCalls,numeric,
RetentionOffersAccepted,numeric,
ReferralsMadeBySubscriber,numeric,
IncomeGroup,numeric,
AdjustmentsToCreditRating,numeric,
HandsetPrice,numeric,"special: string -> numeric, missing/Unknown -> train median"
handsetprice_unknown,numeric,special: HandsetPrice 'Unknown'/unparseable flag (0/1)
ServiceArea,nominal (one-hot),special: top-15 categories + 'Other' -> one-hot
ChildrenInHH,nominal (one-hot),
HandsetRefurbished,nominal (one-hot),
HandsetWebCapable,nominal (one-hot),
TruckOwner,nominal (one-hot),
RVOwner,nominal (one-hot),
Homeownership,nominal (one-hot),
BuysViaMailOrder,nominal (one-hot),
RespondsToMailOffers,nominal (one-hot),
OptOutMailings,nominal (one-hot),
NonUSTravel,nominal (one-hot),
OwnsComputer,nominal (one-hot),
HasCreditCard,nominal (one-hot),
NewCellphoneUser,nominal (one-hot),
NotNewCellphoneUser,nominal (one-hot),
OwnsMotorcycle,nominal (one-hot),
MadeCallToRetentionTeam,nominal (one-hot),
CreditRating,nominal (one-hot),
PrizmCode,nominal (one-hot),
Occupation,nominal (one-hot),
MaritalStatus,nominal (one-hot),
