Column,Role,Note
SeniorCitizen,numeric,
tenure,numeric,
MonthlyCharges,numeric,
TotalCharges,numeric,
gender,nominal (one-hot),
Partner,nominal (one-hot),
Dependents,nominal (one-hot),
PhoneService,nominal (one-hot),
MultipleLines,nominal (one-hot),
InternetService,nominal (one-hot),
OnlineSecurity,nominal (one-hot),
OnlineBackup,nominal (one-hot),
DeviceProtection,nominal (one-hot),
TechSupport,nominal (one-hot),
StreamingTV,nominal (one-hot),
StreamingMovies,nominal (one-hot),
Contract,nominal (one-hot),
PaperlessBilling,nominal (one-hot),
PaymentMethod,nominal (one-hot),
