Dataset,Model,PR-AUC,ROC-AUC,Recall,Precision,F1
telco,Logistic Regression,0.6569 ± 0.0261,0.8452 ± 0.0133,0.5527 ± 0.0305,0.6588 ± 0.0203,0.6010 ± 0.0262
telco,Random Forest,0.6627 ± 0.0269,0.8472 ± 0.0114,0.5099 ± 0.0267,0.6676 ± 0.0174,0.5780 ± 0.0224
telco,XGBoost,0.6648 ± 0.0239,0.8473 ± 0.0118,0.5254 ± 0.0216,0.6643 ± 0.0154,0.5866 ± 0.0184
telco,LightGBM,0.6635 ± 0.0223,0.8469 ± 0.0108,0.5179 ± 0.0353,0.6661 ± 0.0241,0.5825 ± 0.0303
telco,CatBoost,0.6696 ± 0.0194,0.8491 ± 0.0104,0.5249 ± 0.0184,0.6755 ± 0.0198,0.5907 ± 0.0188
telco,Explainable Boosting Machine,0.6704 ± 0.0174,0.8500 ± 0.0101,0.5436 ± 0.0249,0.6631 ± 0.0181,0.5973 ± 0.0206
cell2cell,Logistic Regression,0.3840 ± 0.0062,0.6204 ± 0.0049,0.0310 ± 0.0014,0.4921 ± 0.0314,0.0583 ± 0.0025
cell2cell,Random Forest,0.4507 ± 0.0091,0.6744 ± 0.0064,0.0776 ± 0.0022,0.6105 ± 0.0320,0.1376 ± 0.0039
cell2cell,XGBoost,0.4671 ± 0.0050,0.6835 ± 0.0032,0.1699 ± 0.0046,0.5786 ± 0.0077,0.2626 ± 0.0049
cell2cell,LightGBM,0.4663 ± 0.0068,0.6842 ± 0.0044,0.1394 ± 0.0041,0.5964 ± 0.0173,0.2260 ± 0.0058
cell2cell,CatBoost,0.4648 ± 0.0062,0.6830 ± 0.0047,0.1422 ± 0.0051,0.5957 ± 0.0155,0.2296 ± 0.0075
cell2cell,Explainable Boosting Machine,0.4412 ± 0.0067,0.6695 ± 0.0041,0.1057 ± 0.0054,0.5627 ± 0.0214,0.1778 ± 0.0073
ecommerce,Logistic Regression,0.6853 ± 0.0251,0.8842 ± 0.0120,0.4733 ± 0.0287,0.7138 ± 0.0304,0.5689 ± 0.0279
ecommerce,Random Forest,0.8912 ± 0.0314,0.9664 ± 0.0096,0.7938 ± 0.0459,0.8652 ± 0.0354,0.8278 ± 0.0405
ecommerce,XGBoost,0.8923 ± 0.0288,0.9662 ± 0.0088,0.8116 ± 0.0470,0.8682 ± 0.0242,0.8384 ± 0.0327
ecommerce,LightGBM,0.9084 ± 0.0162,0.9664 ± 0.0072,0.8161 ± 0.0317,0.8812 ± 0.0141,0.8472 ± 0.0224
ecommerce,CatBoost,0.9111 ± 0.0232,0.9721 ± 0.0091,0.8161 ± 0.0512,0.8820 ± 0.0331,0.8476 ± 0.0428
ecommerce,Explainable Boosting Machine,0.7634 ± 0.0398,0.9156 ± 0.0127,0.6084 ± 0.0651,0.7772 ± 0.0319,0.6812 ± 0.0498
iranian,Logistic Regression,0.7628 ± 0.0178,0.9341 ± 0.0076,0.4485 ± 0.0187,0.7645 ± 0.0442,0.5641 ± 0.0081
iranian,Random Forest,0.9349 ± 0.0096,0.9851 ± 0.0037,0.8263 ± 0.0334,0.8889 ± 0.0138,0.8563 ± 0.0233
iranian,XGBoost,0.9522 ± 0.0078,0.9882 ± 0.0028,0.8444 ± 0.0317,0.8843 ± 0.0192,0.8634 ± 0.0164
iranian,LightGBM,0.9576 ± 0.0115,0.9896 ± 0.0029,0.8505 ± 0.0251,0.8927 ± 0.0244,0.8707 ± 0.0169
iranian,CatBoost,0.9571 ± 0.0057,0.9896 ± 0.0024,0.8485 ± 0.0332,0.9093 ± 0.0082,0.8774 ± 0.0167
iranian,Explainable Boosting Machine,0.8897 ± 0.0127,0.9717 ± 0.0043,0.7677 ± 0.0313,0.8303 ± 0.0132,0.7972 ± 0.0138
bank,Logistic Regression,0.4717 ± 0.0273,0.7661 ± 0.0146,0.2116 ± 0.0113,0.5993 ± 0.0374,0.3127 ± 0.0169
bank,Random Forest,0.7013 ± 0.0170,0.8646 ± 0.0061,0.4477 ± 0.0188,0.7883 ± 0.0251,0.5705 ± 0.0131
bank,XGBoost,0.7100 ± 0.0159,0.8683 ± 0.0068,0.4850 ± 0.0282,0.7684 ± 0.0238,0.5943 ± 0.0253
bank,LightGBM,0.7065 ± 0.0150,0.8667 ± 0.0061,0.4806 ± 0.0204,0.7605 ± 0.0188,0.5887 ± 0.0171
bank,CatBoost,0.7173 ± 0.0161,0.8726 ± 0.0072,0.4742 ± 0.0258,0.7734 ± 0.0165,0.5874 ± 0.0195
bank,Explainable Boosting Machine,0.6805 ± 0.0181,0.8521 ± 0.0090,0.4536 ± 0.0249,0.7485 ± 0.0192,0.5643 ± 0.0180
