Dataset,Approach,EMPC,Profit,ROI,PR-AUC,Recall,Precision,F1,"p (EMPC, Wilcoxon)","p (profit, Wilcoxon)"
telco,Ours (raw LightGBM + profit threshold),0.0504 ± 0.0021,110205 ± 3839,1.343,0.6635 ± 0.0223,0.985,0.348,0.514,0.125,0.125
telco,ProfLogit (EMPC-maximizing),0.0492 ± 0.0027,107522 ± 5178,1.332,0.6554 ± 0.0271,0.981,0.353,0.519,0.125,0.125
cell2cell,Ours (raw LightGBM + profit threshold),0.0350 ± 0.0010,148255 ± 5605,0.701,0.4542 ± 0.0101,1.0,0.289,0.448,0.625,0.5
cell2cell,ProfLogit (EMPC-maximizing),0.0350 ± 0.0010,148085 ± 5741,0.7,0.3783 ± 0.0128,1.0,0.288,0.448,0.625,0.5
ecommerce,Ours (raw LightGBM + profit threshold),0.0161 ± 0.0054,53895 ± 18355,1.443,0.9084 ± 0.0162,0.912,0.704,0.795,0.0625,0.0625
ecommerce,ProfLogit (EMPC-maximizing),0.0062 ± 0.0043,20576 ± 14766,0.213,0.6783 ± 0.0248,0.953,0.284,0.436,0.0625,0.0625
iranian,Ours (raw LightGBM + profit threshold),0.0010 ± 0.0015,314 ± 443,0.109,0.9576 ± 0.0115,0.968,0.796,0.873,0.0625,0.0625
iranian,ProfLogit (EMPC-maximizing),-0.0101 ± 0.0018,-3008 ± 503,-0.687,0.7500 ± 0.0157,0.927,0.501,0.643,0.0625,0.0625
bank,Ours (raw LightGBM + profit threshold),0.0324 ± 0.0026,198082 ± 14292,0.927,0.7065 ± 0.0150,0.964,0.281,0.435,0.0625,0.0625
bank,ProfLogit (EMPC-maximizing),0.0350 ± 0.0021,214021 ± 11574,1.005,0.4369 ± 0.0301,0.898,0.262,0.406,0.0625,0.0625
