set,fold,empc_ours,empc_proflogit,profit_ours,profit_proflogit
telco,1,0.05282,0.05312,115428.3,116084.55
telco,2,0.050167,0.048825,111051.31,108048.98
telco,3,0.049983,0.047275,110188.23,104020.07
telco,4,0.046709,0.045473,103478.78,100690.78
telco,5,0.052104,0.05113,110877.48,108766.77
cell2cell,1,0.035845,0.035693,150296.73,149661.54
cell2cell,2,0.033433,0.033203,139508.4,138546.96
cell2cell,3,0.034395,0.034446,144773.07,144984.8
cell2cell,4,0.035917,0.035917,153982.85,153982.85
cell2cell,5,0.035621,0.035556,153556.77,153274.47
ecommerce,1,0.011313,0.004677,37822.83,15636.66
ecommerce,2,0.017709,0.007024,59606.35,23640.15
ecommerce,3,0.026003,0.011951,87368.16,40155.19
ecommerce,4,0.01351,-0.000113,44970.12,-738.86
ecommerce,5,0.012242,0.008381,40594.43,27792.09
iranian,1,0.002208,-0.011163,685.25,-3464.01
iranian,2,-0.001656,-0.013105,-467.48,-3721.07
iranian,3,0.000392,-0.008883,114.81,-2623.28
iranian,4,0.001908,-0.008207,557.19,-2396.9
iranian,5,0.002224,-0.009265,680.4,-2836.12
bank,1,0.037284,0.039044,225554.29,236116.83
bank,2,0.031067,0.033667,190036.05,205993.99
bank,3,0.032403,0.033862,196992.95,205863.54
bank,4,0.031549,0.033675,192943.25,206993.46
bank,5,0.02983,0.034789,184882.18,215137.72
