Dataset,Metric,Mean,Std,CI low (95%),CI high (95%)
telco,PR-AUC,0.6639,0.0014,0.6621,0.6657
telco,ROC-AUC,0.8473,0.0004,0.8467,0.8478
telco,recall,0.9832,0.0027,0.9799,0.9865
telco,precision,0.3462,0.0077,0.3367,0.3557
telco,F1,0.512,0.0081,0.502,0.5221
telco,EMP,0.0497,0.0005,0.0491,0.0503
cell2cell,PR-AUC,0.4659,0.001,0.4646,0.4671
cell2cell,ROC-AUC,0.6853,0.0009,0.6842,0.6865
cell2cell,recall,0.9997,0.0005,0.9991,1.0003
cell2cell,precision,0.2887,0.0007,0.2878,0.2896
cell2cell,F1,0.448,0.0008,0.4471,0.449
cell2cell,EMP,0.0352,0.0,0.0352,0.0353
ecommerce,PR-AUC,0.904,0.0072,0.895,0.913
ecommerce,ROC-AUC,0.9656,0.0044,0.9602,0.9711
ecommerce,recall,0.908,0.0076,0.8986,0.9174
ecommerce,precision,0.7101,0.0113,0.6961,0.7241
ecommerce,F1,0.7969,0.0088,0.786,0.8078
ecommerce,EMP,0.0152,0.0015,0.0134,0.0171
iranian,PR-AUC,0.9549,0.0027,0.9515,0.9582
iranian,ROC-AUC,0.9889,0.0012,0.9874,0.9904
iranian,recall,0.9657,0.0065,0.9575,0.9738
iranian,precision,0.763,0.0303,0.7254,0.8007
iranian,F1,0.8521,0.0166,0.8315,0.8727
iranian,EMP,0.0004,0.0003,0.0001,0.0008
bank,PR-AUC,0.7031,0.0019,0.7007,0.7054
bank,ROC-AUC,0.8659,0.0007,0.8651,0.8668
bank,recall,0.968,0.0049,0.9619,0.9741
bank,precision,0.2711,0.0105,0.258,0.2842
bank,F1,0.4234,0.0122,0.4083,0.4386
bank,EMP,0.0317,0.0005,0.0311,0.0323
