Dataset,Method,PR-AUC,ROC-AUC,Recall,Precision,F1,ECE,Brier,Threshold
telco,Baseline (natural),0.6635 ± 0.0223,0.8469 ± 0.0108,0.5179 ± 0.0353,0.6661 ± 0.0241,0.5825 ± 0.0303,0.0224 ± 0.0077,0.1345 ± 0.0045,0.5000 ± 0.0000
telco,Class-weight,0.6639 ± 0.0233,0.8459 ± 0.0107,0.7801 ± 0.0179,0.5278 ± 0.0112,0.6295 ± 0.0123,0.1310 ± 0.0058,0.1584 ± 0.0047,0.5000 ± 0.0000
telco,SMOTENC/SMOTE,0.6384 ± 0.0245,0.8395 ± 0.0104,0.6848 ± 0.0333,0.5695 ± 0.0109,0.6216 ± 0.0187,0.0838 ± 0.0066,0.1500 ± 0.0040,0.5000 ± 0.0000
telco,ADASYN,0.6527 ± 0.0235,0.8428 ± 0.0107,0.5768 ± 0.0305,0.6178 ± 0.0126,0.5964 ± 0.0213,0.0353 ± 0.0047,0.1381 ± 0.0043,0.5000 ± 0.0000
telco,Threshold shift (max-F1),0.6635 ± 0.0223,0.8469 ± 0.0108,0.7410 ± 0.0559,0.5714 ± 0.0385,0.6421 ± 0.0143,0.0224 ± 0.0077,0.1345 ± 0.0045,0.3282 ± 0.0602
cell2cell,Baseline (natural),0.4663 ± 0.0068,0.6842 ± 0.0044,0.1394 ± 0.0041,0.5964 ± 0.0173,0.2260 ± 0.0058,0.0080 ± 0.0017,0.1868 ± 0.0009,0.5000 ± 0.0000
cell2cell,Class-weight,0.4636 ± 0.0065,0.6836 ± 0.0045,0.6095 ± 0.0039,0.4108 ± 0.0033,0.4908 ± 0.0031,0.1693 ± 0.0018,0.2170 ± 0.0011,0.5000 ± 0.0000
cell2cell,SMOTENC/SMOTE,0.4344 ± 0.0061,0.6674 ± 0.0048,0.1944 ± 0.0032,0.5041 ± 0.0180,0.2805 ± 0.0044,0.0317 ± 0.0020,0.1920 ± 0.0011,0.5000 ± 0.0000
cell2cell,ADASYN,0.4606 ± 0.0069,0.6831 ± 0.0041,0.1366 ± 0.0052,0.5837 ± 0.0214,0.2214 ± 0.0076,0.0107 ± 0.0016,0.1873 ± 0.0008,0.5000 ± 0.0000
cell2cell,Threshold shift (max-F1),0.4663 ± 0.0068,0.6842 ± 0.0044,0.7517 ± 0.0225,0.3819 ± 0.0024,0.5063 ± 0.0044,0.0080 ± 0.0017,0.1868 ± 0.0009,0.2501 ± 0.0077
ecommerce,Baseline (natural),0.9084 ± 0.0162,0.9664 ± 0.0072,0.8161 ± 0.0317,0.8812 ± 0.0141,0.8472 ± 0.0224,0.0379 ± 0.0059,0.0435 ± 0.0063,0.5000 ± 0.0000
