Concept,telco,cell2cell,ecommerce,iranian,bank,Top-3 sector count
Relationship duration (tenure),0.1062,0.0879,0.2368,0.081,0.0104,1
Contract / commitment,0.358,0.0,0.0,0.0,0.0,1
Usage volume,0.0,0.2208,0.0471,0.557,0.1372,3
Usage decline,0.0,0.0956,0.0,0.0,0.0,0
Engagement / recency,0.0,0.0,0.24,0.0,0.0,1
Complaint / support / service quality,0.0566,0.093,0.192,0.2287,0.0,2
Monetary value / spending,0.1178,0.0601,0.1187,0.098,0.1078,2
Credit / risk,0.0,0.049,0.0,0.0,0.0155,0
Payment / billing type,0.0862,0.003,0.0,0.0,0.0022,0
Service / subscription scope,0.2418,0.055,0.0,0.0,0.272,2
Device / equipment,0.0,0.2125,0.0,0.0,0.0,1
Demographics,0.0335,0.1093,0.0954,0.0352,0.4549,2
Other,0.0,0.014,0.07,0.0,0.0,0
