Dataset,Cost fraction,γ,Threshold A (0.5),Threshold B (t*),Profit A,Profit B,ROI A,ROI B,ROI gain (B−A),Profit gain %,EMP (per customer)
telco,0.01,0.2,0.5,0.01,-1144102.8,558671.0,-50.695,5.118,55.813,148.8,0.0491
telco,0.01,0.3,0.5,0.01,-959302.3,892585.0,-42.507,8.177,50.684,193.0,0.0491
telco,0.01,0.4,0.5,0.01,-774501.8,1226499.0,-34.318,11.236,45.554,258.4,0.0491
telco,0.01,0.5,0.5,0.01,-589701.4,1560413.1,-26.13,14.295,40.425,364.6,0.0491
telco,0.02,0.2,0.5,0.03,-1166670.9,466254.8,-25.848,2.604,28.452,140.0,0.0491
telco,0.02,0.3,0.5,0.03,-981870.5,798292.2,-21.753,4.458,26.212,181.3,0.0491
telco,0.02,0.4,0.5,0.03,-797070.0,1130329.5,-17.659,6.313,23.972,241.8,0.0491
telco,0.02,0.5,0.5,0.03,-612269.5,1462366.9,-13.565,8.167,21.732,338.8,0.0491
telco,0.05,0.2,0.5,0.04,-1234375.4,207028.1,-10.939,0.489,11.428,116.8,0.0491
telco,0.05,0.3,0.5,0.04,-1049574.9,537850.3,-9.301,1.269,10.571,151.2,0.0491
telco,0.05,0.4,0.5,0.04,-864774.5,868672.4,-7.664,2.05,9.714,200.5,0.0491
telco,0.05,0.5,0.5,0.04,-679974.0,1199494.5,-6.026,2.831,8.857,276.4,0.0491
telco,0.1,0.2,0.5,0.07,-1347216.2,-177800.4,-5.97,-0.236,5.734,86.8,0.0491
telco,0.1,0.3,0.5,0.07,-1162415.7,148528.2,-5.151,0.197,5.348,112.8,0.0491
telco,0.1,0.4,0.5,0.07,-977615.2,474856.8,-4.332,0.629,4.961,148.6,0.0491
telco,0.1,0.5,0.5,0.07,-792814.7,801185.4,-3.513,1.062,4.575,201.1,0.0491
telco,0.2,0.2,0.5,0.18,-1572897.7,-827724.1,-3.485,-0.767,2.717,47.4,0.0491
telco,0.2,0.3,0.5,0.18,-1388097.3,-528550.2,-3.075,-0.49,2.585,61.9,0.0491
telco,0.2,0.4,0.5,0.11,-1203296.8,-224173.0,-2.666,-0.169,2.497,81.4,0.0491
telco,0.2,0.5,0.5,0.11,-1018496.3,93180.2,-2.256,0.07,2.327,109.1,0.0491
cell2cell,0.01,0.2,0.5,0.05,-17459806.6,3371646.1,-359.537,4.681,364.218,119.3,0.0352
cell2cell,0.01,0.3,0.5,0.05,-17205748.5,5417640.3,-354.305,7.521,361.826,131.5,0.0352
cell2cell,0.01,0.4,0.5,0.05,-16951690.4,7463634.5,-349.074,10.361,359.435,144.0,0.0352
cell2cell,0.01,0.5,0.5,0.05,-16697632.3,9509628.7,-343.842,13.202,357.044,157.0,0.0352
cell2cell,0.02,0.2,0.5,0.05,-17508368.6,2651303.7,-180.268,1.84,182.109,115.1,0.0352
cell2cell,0.02,0.3,0.5,0.05,-17254310.5,4697298.0,-177.653,3.26,180.913,127.2,0.0352
cell2cell,0.02,0.4,0.5,0.05,-17000252.3,6743292.2,-175.037,4.681,179.717,139.7,0.0352
cell2cell,0.02,0.5,0.5,0.05,-16746194.2,8789286.4,-172.421,6.101,178.522,152.5,0.0352
cell2cell,0.05,0.2,0.5,0.06,-17654054.4,491604.9,-72.707,0.137,72.844,102.8,0.0352
cell2cell,0.05,0.3,0.5,0.06,-17399996.2,2537286.5,-71.661,0.705,72.367,114.6,0.0352
cell2cell,0.05,0.4,0.5,0.06,-17145938.1,4582968.0,-70.615,1.274,71.889,126.7,0.0352
cell2cell,0.05,0.5,0.5,0.06,-16891880.0,6628649.5,-69.568,1.843,71.411,139.2,0.0352
cell2cell,0.1,0.2,0.5,0.11,-17896864.0,-3028663.6,-36.854,-0.452,36.401,83.1,0.0352
cell2cell,0.1,0.3,0.5,0.09,-17642805.9,-998793.3,-36.331,-0.143,36.187,94.3,0.0352
cell2cell,0.1,0.4,0.5,0.09,-17388747.8,1034111.4,-35.807,0.148,35.956,105.9,0.0352
cell2cell,0.1,0.5,0.5,0.09,-17134689.7,3067016.1,-35.284,0.44,35.724,117.9,0.0352
cell2cell,0.2,0.2,0.5,0.14,-18382483.3,-9521596.1,-18.927,-0.768,18.159,48.2,0.0352
cell2cell,0.2,0.3,0.5,0.14,-18128425.2,-7576356.3,-18.665,-0.611,18.054,58.2,0.0352
cell2cell,0.2,0.4,0.5,0.13,-17874367.1,-5607642.9,-18.404,-0.44,17.964,68.6,0.0352
cell2cell,0.2,0.5,0.5,0.13,-17620309.0,-3635847.7,-18.142,-0.285,17.857,79.4,0.0352
ecommerce,0.01,0.2,0.5,0.0,-121342.9,348415.7,-4.585,2.085,6.67,387.1,0.0161
ecommerce,0.01,0.3,0.5,0.0,85564.2,606192.1,3.233,3.627,0.394,608.5,0.0161
ecommerce,0.01,0.4,0.5,0.0,292471.2,863968.4,11.052,5.169,-5.883,195.4,0.0161
ecommerce,0.01,0.5,0.5,0.0,499378.2,1121744.8,18.87,6.712,-12.159,124.6,0.0161
ecommerce,0.02,0.2,0.5,0.0,-147806.6,181278.8,-2.793,0.542,3.335,222.6,0.0161
ecommerce,0.02,0.3,0.5,0.0,59100.5,439055.1,1.117,1.313,0.197,642.9,0.0161
ecommerce,0.02,0.4,0.5,0.0,266007.5,696831.5,5.026,2.085,-2.941,162.0,0.0161
ecommerce,0.02,0.5,0.5,0.0,472914.5,954607.8,8.935,2.856,-6.079,101.9,0.0161
ecommerce,0.05,0.2,0.5,0.01,-227197.7,36202.7,-1.717,0.195,1.912,115.9,0.0161
ecommerce,0.05,0.3,0.5,0.01,-20290.6,269477.5,-0.153,1.454,1.607,1428.1,0.0161
ecommerce,0.05,0.4,0.5,0.01,186616.4,502752.2,1.41,2.713,1.302,169.4,0.0161
ecommerce,0.05,0.5,0.5,0.01,393523.4,736027.0,2.974,3.971,0.997,87.0,0.0161
ecommerce,0.1,0.2,0.5,0.01,-359516.2,-149128.0,-1.359,-0.402,0.956,58.5,0.0161
ecommerce,0.1,0.3,0.5,0.01,-152609.2,84146.7,-0.577,0.227,0.804,155.1,0.0161
ecommerce,0.1,0.4,0.5,0.01,54297.9,317421.5,0.205,0.856,0.651,484.6,0.0161
ecommerce,0.1,0.5,0.5,0.01,261204.9,550696.2,0.987,1.486,0.499,110.8,0.0161
ecommerce,0.2,0.2,0.5,0.02,-624153.2,-518954.6,-1.179,-0.741,0.439,16.9,0.0161
ecommerce,0.2,0.3,0.5,0.01,-417246.2,-286514.7,-0.788,-0.386,0.402,31.3,0.0161
ecommerce,0.2,0.4,0.5,0.01,-210339.2,-53240.0,-0.397,-0.072,0.326,74.7,0.0161
ecommerce,0.2,0.5,0.5,0.01,-3432.1,180034.8,-0.006,0.243,0.249,5345.5,0.0161
iranian,0.01,0.2,0.5,0.01,582.7,7254.9,0.262,1.885,1.623,1145.0,0.0007
iranian,0.01,0.3,0.5,0.01,5965.0,13328.6,2.683,3.464,0.781,123.4,0.0007
iranian,0.01,0.4,0.5,0.01,11347.3,19402.3,5.105,5.042,-0.062,71.0,0.0007
iranian,0.01,0.5,0.5,0.01,16729.6,25476.0,7.526,6.621,-0.905,52.3,0.0007
iranian,0.02,0.2,0.5,0.05,-1640.3,3836.1,-0.369,0.638,1.007,333.9,0.0007
iranian,0.02,0.3,0.5,0.02,3742.0,9820.7,0.842,1.45,0.608,162.4,0.0007
iranian,0.02,0.4,0.5,0.02,9124.3,15849.5,2.052,2.34,0.288,73.7,0.0007
iranian,0.02,0.5,0.5,0.02,14506.6,21878.4,3.263,3.23,-0.032,50.8,0.0007
iranian,0.05,0.2,0.5,0.07,-8309.3,-4853.6,-0.748,-0.34,0.408,41.6,0.0007
iranian,0.05,0.3,0.5,0.07,-2927.0,1081.6,-0.263,0.076,0.339,137.0,0.0007
iranian,0.05,0.4,0.5,0.07,2455.3,7016.8,0.221,0.491,0.27,185.8,0.0007
iranian,0.05,0.5,0.5,0.07,7837.6,12952.0,0.705,0.906,0.201,65.3,0.0007
iranian,0.1,0.2,0.5,0.63,-19424.2,-18456.7,-0.874,-0.911,-0.038,5.0,0.0007
iranian,0.1,0.3,0.5,0.63,-14041.9,-13158.7,-0.632,-0.65,-0.018,6.3,0.0007
iranian,0.1,0.4,0.5,0.08,-8659.7,-7257.7,-0.39,-0.256,0.134,16.2,0.0007
iranian,0.1,0.5,0.5,0.08,-3277.4,-1337.9,-0.147,-0.047,0.1,59.2,0.0007
iranian,0.2,0.2,0.5,0.63,-41654.1,-38708.6,-0.937,-0.956,-0.019,7.1,0.0007
iranian,0.2,0.3,0.5,0.63,-36271.9,-33410.5,-0.816,-0.825,-0.009,7.9,0.0007
iranian,0.2,0.4,0.5,0.63,-30889.6,-28112.5,-0.695,-0.694,0.001,9.0,0.0007
iranian,0.2,0.5,0.5,0.63,-25507.3,-22814.4,-0.574,-0.563,0.01,10.6,0.0007
bank,0.01,0.2,0.5,0.03,-3196811.9,1207682.1,-81.126,4.456,85.582,137.8,0.0319
bank,0.01,0.3,0.5,0.03,-2841302.1,1949535.5,-72.104,7.193,79.297,168.6,0.0319
bank,0.01,0.4,0.5,0.03,-2485792.3,2691389.0,-63.082,9.93,73.012,208.3,0.0319
bank,0.01,0.5,0.5,0.03,-2130282.5,3433242.4,-54.06,12.667,66.728,261.2,0.0319
bank,0.02,0.2,0.5,0.04,-3236217.4,956666.8,-41.063,1.928,42.991,129.6,0.0319
bank,0.02,0.3,0.5,0.04,-2880707.6,1696364.2,-36.552,3.419,39.971,158.9,0.0319
bank,0.02,0.4,0.5,0.04,-2525197.9,2436061.7,-32.041,4.91,36.951,196.5,0.0319
bank,0.02,0.5,0.5,0.04,-2169688.1,3175759.2,-27.53,6.4,33.931,246.4,0.0319
bank,0.05,0.2,0.5,0.05,-3354434.0,241812.0,-17.025,0.213,17.239,107.2,0.0319
bank,0.05,0.3,0.5,0.05,-2998924.2,975037.3,-15.221,0.86,16.081,132.5,0.0319
bank,0.05,0.4,0.5,0.05,-2643414.4,1708262.6,-13.416,1.507,14.924,164.6,0.0319
bank,0.05,0.5,0.5,0.05,-2287904.7,2441487.9,-11.612,2.154,13.766,206.7,0.0319
bank,0.1,0.2,0.5,0.08,-3551461.7,-813896.2,-9.013,-0.469,8.543,77.1,0.0319
bank,0.1,0.3,0.5,0.06,-3195951.9,-108557.4,-8.11,-0.053,8.058,96.6,0.0319
bank,0.1,0.4,0.5,0.06,-2840442.1,612658.1,-7.208,0.297,7.506,121.6,0.0319
bank,0.1,0.5,0.5,0.06,-2484932.3,1333873.7,-6.306,0.647,6.953,153.7,0.0319
bank,0.2,0.2,0.5,0.15,-3945517.0,-2306641.1,-5.006,-1.02,3.986,41.5,0.0319
bank,0.2,0.3,0.5,0.15,-3590007.2,-1691823.9,-4.555,-0.748,3.807,52.9,0.0319
bank,0.2,0.4,0.5,0.15,-3234497.4,-1077006.8,-4.104,-0.476,3.628,66.7,0.0319
bank,0.2,0.5,0.5,0.08,-2878987.6,-462055.3,-3.653,-0.133,3.52,84.0,0.0319
